INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,ICLEVEL,HIGHDEG,CONTROL,WOMENONLY,MENONLY,LOCALE,Tuition,Degree_Type,Ownership,Regions,Locales,Locale_Short
Reconstructionist Rabbinical College,2273400,2,,,,,,7436,,PrivacySuppressed,,1,4,2,0,0,21,,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Reformed Presbyterian Theological Seminary,335800,2,,0,0,,,6136,,PrivacySuppressed,,1,4,2,0,0,11,,Graduate,Private non-profit,Mid East,City: Large,City
The Restaurant School at Walnut Hill College,2192800,2,,0.3384,0.7601,0.776566757,504,4583,0.71957672,12000,68680.79,1,3,3,0,0,11,32737,Bachelors,Private for-profit,Mid East,City: Large,City
Brightwood Career Institute-Broomall,778100,2,,0.7388,0.5917,,548,4432,0.306010929,7501,51642.46,2,2,3,0,0,21,21355,Associates,Private for-profit,Mid East,Suburb: Large,Suburb
Robert Morris University,335900,2,1051,0.2927,0.6303,0.776561788,3714,10604,0.834829443,21500,59274.33,1,4,2,0,0,21,24305,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Rosedale Technical College,1205000,2,,0.7364,0.7727,,92,4167,0.47826087,12000,46895.78,2,2,2,0,0,21,21777,Associates,Private non-profit,Mid East,Suburb: Large,Suburb
Rosemont College,336000,2,884,0.4957,0.9128,0.706285714,893,5346,0.673913044,20000,57790.62,1,4,2,0,0,21,20565,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Saint Francis University,336600,2,1060,0.2818,0.6655,0.741200828,1412,6735,PrivacySuppressed,25490,55181.27,1,4,2,0,0,31,25784,Graduate,Private non-profit,Mid East,Town: Fringe,Town
Saint Joseph's University,336700,2,,0.1294,0.4134,0.818498498,4517,8954,0.896957802,19500,79940.44,1,4,2,0,0,11,34547,Graduate,Private non-profit,Mid East,City: Large,City
Saint Vincent College,336800,2,1059,0.2903,0.7386,0.698113208,1206,7401,0.876227898,23849.5,54143.22,1,4,2,0,0,21,19521,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Saint Vincent Seminary,336800,2,1059,,,0.698113208,,4529,0.876227898,23849.5,54143.22,1,4,2,0,0,21,,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Schuylkill Technology Center,2251200,2,,0.4368,0.6322,,123,,0.570093458,10158,45994.26,3,1,1,0,0,41,10201,Certificate,Public,Mid East,Rural: Fringe,Rural
University of Scranton,338400,2,1134,0.1848,0.6711,0.722061897,3970,9756,0.917077986,26000,73943.5,1,4,2,0,0,13,32288,Graduate,Private non-profit,Mid East,City: Small,City
Seton Hill University,336200,2,,0.2927,0.6463,0.764452938,1131,7197,0.7625,22707,54100.65,1,4,2,0,0,21,23693,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
University of Pittsburgh Medical Center-Shadyside School of Nursing,657700,2,1045,0.3698,0.9434,1,52,,0.775757576,12000,52421.72,2,1,2,0,0,11,19920,Certificate,Private non-profit,Mid East,City: Large,City
Sharon Regional Health System School of Nursing,657800,2,,0.5,0.6591,,52,,PrivacySuppressed,9500,48239.32,3,1,3,0,0,21,19146,Certificate,Private for-profit,Mid East,Suburb: Large,Suburb
Laurel Technical Institute,2092500,2,,0.7834,0.5478,0.989304813,51,2939,0.42519685,9122,44294.99,2,2,3,0,0,21,7881,Associates,Private for-profit,Mid East,Suburb: Large,Suburb
Shippensburg University of Pennsylvania,332600,2,979,0.3129,0.7126,0.891446294,5990,9986,0.906307978,16130,63560.54,1,4,1,0,0,31,20449,Graduate,Public,Mid East,Town: Fringe,Town
Slippery Rock University of Pennsylvania,332700,2,999,0.3225,0.7235,0.683618751,6294,9348,0.846525097,19500,54113.09,1,4,1,0,0,32,18493,Graduate,Public,Mid East,Town: Distant,Town
Saint Charles Borromeo Seminary-Overbrook,336400,2,,0.0822,0.2603,,294,3122,PrivacySuppressed,13445,58077.31,1,4,2,0,1,21,35912,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
South Hills Beauty Academy Inc,1292900,2,,0.157,0.3058,,152,,0.567567568,3431,55231.18,3,1,3,0,0,21,21667,Certificate,Private for-profit,Mid East,Suburb: Large,Suburb
South Hills School of Business & Technology,1326300,2,,0.654,0.8603,0.979079498,527,4286,0.669590643,15834,47745.11,2,2,3,0,0,13,19418,Associates,Private for-profit,Mid East,City: Small,City
St Lukes Hospital School of Nursing,657400,2,,0.3786,0.8835,,135,,PrivacySuppressed,15166.5,67050.4,2,1,2,0,0,21,,Certificate,Private non-profit,Mid East,Suburb: Large,Suburb
The Beauty School,2206300,2,,0.6818,0.8182,,41,,PrivacySuppressed,11075,66207.74,3,1,3,0,0,23,15812,Certificate,Private for-profit,Mid East,Suburb: Small,Suburb
Susquehanna University,336900,2,,0.257,0.7253,0.760512917,1824,7984,0.928308824,24756,72676.24,1,3,2,0,0,32,25506,Bachelors,Private non-profit,Mid East,Town: Distant,Town
Swarthmore College,337000,2,1431,0.1537,0.2257,0.124840113,1428,12458,PrivacySuppressed,18000,78121.47,1,3,2,0,0,21,21858,Bachelors,Private non-profit,Mid East,Suburb: Large,Suburb
Thaddeus Stevens College of Technology,791200,2,,0.5268,0.6331,0.297957695,543,7275,0.830188679,6490,60333.5,2,2,1,0,0,13,7831,Associates,Public,Mid East,City: Small,City
Talmudical Yeshiva of Philadelphia,1252300,2,,0.3525,0,0.75,107,3904,,PrivacySuppressed,55122.79,1,3,2,0,1,11,8067,Bachelors,Private non-profit,Mid East,City: Large,City
Temple University,337100,2,,0.3419,0.6457,0.556809527,18394,10232,0.836151927,21500,66650.68,1,4,1,0,0,11,20670,Graduate,Public,Mid East,City: Large,City
Theological Seminary of the Reformed Episcopal Church,337500,2,,,,,,4200,,PrivacySuppressed,,1,4,2,0,0,21,,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Thiel College,337600,2,923,0.4088,0.8156,0.614945055,994,6402,0.84,26000,54604.75,1,3,2,0,0,31,22870,Bachelors,Private non-profit,Mid East,Town: Fringe,Town
Thomas Jefferson University,1239300,2,,0.1886,0.642,,769,8381,0.874055416,12500,66565.04,1,4,2,0,0,11,,Graduate,Private non-profit,Mid East,City: Large,City
Fortis Institute-Erie,3010800,2,,0.8221,0.7408,,318,4391,0.397988506,9872,48709.39,2,2,3,0,0,22,21615,Associates,Private for-profit,Mid East,Suburb: Midsize,Suburb
Triangle Tech Inc-Erie,2090200,2,,0.7174,0.8913,,131,3344,0.6,14949,49607,2,2,3,0,0,12,17471,Associates,Private for-profit,Mid East,City: Midsize,City
Triangle Tech Inc-Pittsburgh,783900,2,,0.708,0.7876,,234,3836,0.507751938,12000,51193.4,2,2,3,0,0,11,20983,Associates,Private for-profit,Mid East,City: Large,City
Triangle Tech Inc-Greensburg,2129000,2,,0.5753,0.586,,158,3755,0.673139159,12000,49502.25,2,2,3,0,0,21,15090,Associates,Private for-profit,Mid East,Suburb: Large,Suburb
Triangle Tech Inc-Dubois,2174400,2,,0.6667,0.7143,,301,3665,0.566666667,12000,45890.09,2,2,3,0,0,33,17841,Associates,Private for-profit,Mid East,Town: Remote,Town
Trinity Episcopal School for Ministry,2299300,2,,,,,,5589,,PrivacySuppressed,PrivacySuppressed,1,4,2,0,0,21,,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Ursinus College,338500,2,,0.2159,0.7192,0.82611997,1271,8722,0.914798206,27000,77658.55,1,3,2,0,0,21,26146,Bachelors,Private non-profit,Mid East,Suburb: Large,Suburb
University of Valley Forge,330600,2,945,0.4412,0.6871,0.945378151,618,6095,0.873417722,19000,63922.06,1,4,2,0,0,21,23673,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Valley Forge Military College,338600,2,840,0.5494,0.7654,0.642533937,214,4794,0.634146342,9500,75660.87,2,2,2,0,0,21,28858,Associates,Private non-profit,Mid East,Suburb: Large,Suburb
Venus Beauty Academy,2061000,2,,0.4591,0.5975,,79,,0.479452055,5500,68397.33,3,1,3,0,0,21,18008,Certificate,Private for-profit,Mid East,Suburb: Large,Suburb
Villanova University,338800,2,1326,0.1145,0.4115,0.478896705,7083,10688,0.94949495,24827,90091.77,1,4,2,0,0,21,36563,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Washington Hospital School of Nursing,658200,2,,0.5735,0.9853,1,80,,0.767441861,16049.5,50538.92,2,1,2,0,0,21,,Certificate,Private non-profit,Mid East,Suburb: Large,Suburb
Washington Hospital School of Radiologic Technology,658202,2,,0,0.0952,1,18,,0.767441861,16049.5,50538.92,2,1,2,0,0,21,,Certificate,Private non-profit,Mid East,Suburb: Large,Suburb
Washington & Jefferson College,338900,2,,0.2526,0.7401,0.43467447,1241,7869,0.888888889,26000,61376.37,1,3,2,0,0,21,26123,Bachelors,Private non-profit,Mid East,Suburb: Large,Suburb
Waynesburg University,339100,2,1019,0.3405,0.8657,0.856135402,1379,6722,0.860194175,21500,52961.26,1,4,2,0,0,32,16851,Graduate,Private non-profit,Mid East,Town: Distant,Town
Welder Training and Testing Institute,1162200,2,,0.3827,0.4259,,22,,PrivacySuppressed,9500,54987.22,3,1,3,0,0,12,15052,Certificate,Private for-profit,Mid East,City: Midsize,City
West Chester University of Pennsylvania,332800,2,1072,0.254,0.6353,0.586818758,10324,9054,0.909210526,19500,74655.83,1,4,1,0,0,21,22250,Graduate,Public,Mid East,Suburb: Large,Suburb
Western Pennsylvania Hospital School of Nursing,658300,2,,0.3675,0.7179,0.393939394,49,,0.790322581,12000,51578.37,2,1,2,0,0,11,15770,Certificate,Private non-profit,Mid East,City: Large,City
Pittsburgh Career Institute,2202300,2,,0.8991,0.9817,0.880952381,474,5017,0.387387387,13499.5,47444.41,2,2,3,0,0,11,17747,Associates,Private for-profit,Mid East,City: Large,City
Westminster College,339200,2,1028,0.3227,0.7515,0.940408627,1470,6612,0.916666667,25373.5,56138.86,1,4,2,0,0,31,20615,Graduate,Private non-profit,Mid East,Town: Fringe,Town
Westminster Theological Seminary,339300,2,,,,,,7221,PrivacySuppressed,PrivacySuppressed,,1,4,2,0,0,21,,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Westmoreland County Community College,1017600,2,,0.2341,0.3393,,5272,6728,0.761904762,5500,47804.06,2,2,1,0,0,41,4649,Associates,Public,Mid East,Rural: Fringe,Rural
Widener University,331300,2,1032,0.2549,0.6752,0.679948349,3355,7755,0.842937853,21500,69397.52,1,4,2,0,0,21,26937,Graduate,Private non-profit,Mid East,Suburb: Large,Suburb
Wilkes University,339400,2,1053,0.3597,0.761,0.817319848,1762,8800,0.906584992,20440,56456.55,1,4,2,0,0,13,22975,Graduate,Private non-profit,Mid East,City: Small,City
Wilson College,339600,2,941,0.3544,0.6715,0.452338129,764,6677,0.87755102,16270.5,58672.07,1,4,2,0,0,13,18849,Graduate,Private non-profit,Mid East,City: Small,City
Yeshivath Beth Moshe,1313400,2,,0.5,0,,43,3306,PrivacySuppressed,7125,44140.85,1,3,2,0,1,13,3216,Bachelors,Private non-profit,Mid East,City: Small,City
York College Pennsylvania,339900,2,1054,0.2608,0.6743,0.430222894,5073,8760,0.904098995,21000,73378.65,1,4,2,0,0,22,21267,Graduate,Private non-profit,Mid East,Suburb: Midsize,Suburb
YTI Career Institute-York,2127400,2,,0.635,0.8115,,1097,3921,0.612548512,9500,62405.76,2,2,3,0,0,22,13120,Associates,Private for-profit,Mid East,Suburb: Midsize,Suburb
Brown University,340100,1,1457,0.1599,0.2352,0.094913804,6029,14356,0.91689008,14232.5,79027.35,1,4,2,0,0,12,27496,Graduate,Private non-profit,New England,City: Midsize,City
Bryant University,340200,1,,0.153,0.5858,0.723191648,2901,13903,0.918472652,25744.5,80219.8,1,4,2,0,0,21,36158,Graduate,Private non-profit,New England,Suburb: Large,Suburb
Johnson & Wales University-Providence,340400,1,,0.3552,0.7908,0.788875781,8533,9020,0.802643573,16952,68856.12,1,4,2,0,0,12,26045,Graduate,Private non-profit,New England,City: Midsize,City
New England Institute of Technology,784500,1,,0.5012,0.7825,,2712,6346,0.696872494,12000,64106.73,1,4,2,0,0,21,26435,Graduate,Private non-profit,New England,Suburb: Large,Suburb
New England Tractor Trailer Training School of Rhode Island,2584400,1,,0.8653,0.9195,,,,0.484375,6333,54209.44,3,1,3,0,0,21,14305,Certificate,Private for-profit,New England,Suburb: Large,Suburb
Providence College,340600,1,,0.1335,0.5184,0.567792462,4405,9641,0.902293121,27000,83293.65,1,4,2,0,0,12,35848,Graduate,Private non-profit,New England,City: Midsize,City
Rhode Island College,340700,1,913,0.4298,0.5802,0.716187658,6917,7435,0.810157195,14000,61569.63,1,4,1,0,0,21,9613,Graduate,Public,New England,Suburb: Large,Suburb
Community College of Rhode Island,340800,1,,0.5678,0.2303,,15583,6664,0.772845953,4955,53295.45,2,2,1,0,0,13,7051,Associates,Public,New England,City: Small,City
University of Rhode Island,341400,1,1077,0.2686,0.7016,0.735539625,10647,9897,0.843283582,18961,72503.8,1,4,1,0,0,21,19177,Graduate,Public,New England,Suburb: Large,Suburb
Rhode Island School of Design,340900,1,1273,0.1624,0.3818,0.371958763,1829,7873,0.908496732,26983,80568.35,1,4,2,0,0,12,43582,Graduate,Private non-profit,New England,City: Midsize,City
Roger Williams University,341000,1,,0.1254,0.5443,0.784828592,3676,11594,0.903797468,20500,84094.11,1,4,2,0,0,21,34104,Graduate,Private non-profit,New England,Suburb: Large,Suburb
Salve Regina University,341100,1,,0.2074,0.6549,0.726473175,1835,8386,PrivacySuppressed,26000,81126.67,1,4,2,0,0,21,26033,Graduate,Private non-profit,New England,Suburb: Large,Suburb
St Joseph School of Nursing,659100,1,,0.5263,0.8596,,64,,PrivacySuppressed,24500,60768.39,2,1,3,0,0,21,25727,Certificate,Private for-profit,New England,Suburb: Large,Suburb
Empire Beauty School-Warwick,1260608,1,,0.5632,0.6437,,161,,0.261306533,8693,65346.17,3,1,3,0,0,13,12760,Certificate,Private for-profit,New England,City: Small,City
Northpoint Bible College,3570500,1,,0.5738,0.6951,,,5787,0.71875,14500,67697.26,1,4,2,0,0,21,19442,Graduate,Private non-profit,New England,Suburb: Large,Suburb
Aiken Technical College,1005600,5,,0.5567,0.2507,,2268,5519,,5193,50910.39,2,2,1,0,0,41,5503,Associates,Public,South East,Rural: Fringe,Rural
Allen University,341700,5,,0.6061,0.9091,,371,4678,0.2625,30345,49460.71,1,3,2,0,0,12,16324,Bachelors,Private non-profit,South East,City: Midsize,City
Anderson University,341800,5,1078,0.3085,0.5827,0.549367851,1398,6115,0.762345679,18420,56100.72,1,4,2,0,0,13,20191,Graduate,Private non-profit,South East,City: Small,City
Charleston Southern University,341900,5,1030,0.4938,0.9053,0.602050114,2315,5555,0.727722772,15000,57179.15,1,4,2,0,0,13,17241,Graduate,Private non-profit,South East,City: Small,City
Technical College of the Lowcountry,991000,5,,0.5987,0.17,,1776,5418,0.631578947,4840.5,50496.35,2,2,1,0,0,32,3582,Associates,Public,South East,Town: Distant,Town
Benedict College,342000,5,,0.8257,0.9002,,2966,5666,0.247648903,19075.5,49336.04,1,3,2,0,0,12,16583,Bachelors,Private non-profit,South East,City: Midsize,City
Bob Jones University,342100,5,1049,0.3952,0.3798,0.820163488,,4001,PrivacySuppressed,12000,,1,4,3,0,0,13,15627,Graduate,Private for-profit,South East,City: Small,City
Southern Wesleyan University,342200,5,,0.4619,0.6735,0.622425629,1724,5286,0.628099174,19260.5,54696.17,1,4,2,0,0,21,16706,Graduate,Private non-profit,South East,Suburb: Large,Suburb
Charleston Cosmetology Institute,2356600,5,,0.4737,0.8889,,130,,0.448,5150,56337.96,3,1,3,0,0,21,17344,Certificate,Private for-profit,South East,Suburb: Large,Suburb
College of Charleston,342800,5,1141,0.2264,0.4118,0.771455383,9750,8285,0.740808824,15750,66962.7,1,4,1,0,0,12,17826,Graduate,Public,South East,City: Midsize,City
Charzanne Beauty College,2338600,5,,0.5802,0.4938,,48,,,7000,45567.37,3,1,3,0,0,32,14267,Certificate,Private for-profit,South East,Town: Distant,Town
Northeastern Technical College,760200,5,,0.6459,0,,982,3907,,PrivacySuppressed,39030.8,2,2,1,0,0,41,8760,Associates,Public,South East,Rural: Fringe,Rural
Citadel Military College of South Carolina,342300,5,1073,0.2559,0.5042,0.765188834,1995,8347,0.888372093,18750,66736.53,1,4,1,0,0,12,17454,Graduate,Public,South East,City: Midsize,City
Claflin University,342400,5,815,0.7515,0.8353,0.413252123,1130,6410,0.413333333,23160,45792.28,1,4,2,0,0,32,21426,Graduate,Private non-profit,South East,Town: Distant,Town
Clemson University,342500,5,1275,0.1834,0.4286,0.512725487,14066,10165,0.89319293,19295.5,64586.36,1,4,1,0,0,21,15885,Graduate,Public,South East,Suburb: Large,Suburb
Clinton College,492300,5,,0.7938,0.8557,,,3398,PrivacySuppressed,10500,53955.02,1,3,2,0,0,13,8180,Bachelors,Private non-profit,South East,City: Small,City
Coker College,342700,5,960,0.5459,0.8086,0.496630728,1002,5688,0.589665654,17175,49143.33,1,4,2,0,0,32,16868,Graduate,Private non-profit,South East,Town: Distant,Town
Columbia International University,342900,5,1045,0.4732,0.5054,0.339963834,644,4490,0.889908257,14746,64434.93,1,4,2,0,0,12,18833,Graduate,Private non-profit,South East,City: Midsize,City
Columbia College,343000,5,971,0.5277,0.7277,0.891262136,1206,6497,0.64516129,15729.5,56463.66,1,4,2,1,0,12,17921,Graduate,Private non-profit,South East,City: Midsize,City
Converse College,343100,5,1040,0.4396,0.7692,0.577507599,623,4747,0.741935484,14000,57113.24,1,4,2,1,0,13,17304,Graduate,Private non-profit,South East,City: Small,City
Denmark Technical College,536300,5,,0.8232,0.7061,,1240,5936,0.212903226,10250,40264.16,2,2,1,0,0,41,6474,Associates,Public,South East,Rural: Fringe,Rural
Erskine College,343200,5,993,0.4257,0.6551,0.642785066,502,5568,0.822580645,12007.5,57374.47,1,4,2,0,0,42,17802,Graduate,Private non-profit,South East,Rural: Distant,Rural
Florence-Darlington Technical College,399000,5,,0.6307,0.3717,,3814,5782,0.51800554,6500,43584.43,2,2,1,0,0,23,4718,Associates,Public,South East,Suburb: Small,Suburb
Forrest College,492400,5,,0.8559,0.9189,,229,2593,PrivacySuppressed,11559,47589.02,2,2,3,0,0,13,17166,Associates,Private for-profit,South East,City: Small,City
Francis Marion University,922600,5,927,0.5684,0.7861,0.588698723,2793,7342,0.649606299,18500,49042.79,1,4,1,0,0,23,11915,Graduate,Public,South East,Suburb: Small,Suburb
Furman University,343400,5,,0.1278,0.306,0.635426794,2789,9372,0.933130699,20500,71867.28,1,4,2,0,0,21,26714,Graduate,Private non-profit,South East,Suburb: Large,Suburb
Greenville Technical College,399100,5,,0.4745,0.335,,10786,5244,0.568238213,9399.5,55861.89,2,2,1,0,0,13,7498,Associates,Public,South East,City: Small,City
Horry-Georgetown Technical College,492500,5,,0.5448,0.4965,,3693,5596,0.525889968,8369,48221.26,2,2,1,0,0,13,6327,Associates,Public,South East,City: Small,City
Kenneth Shuler School of Cosmetology-North Augusta,3052300,5,,0.8038,0.6986,,42,,0.25974026,9264,52756.09,3,1,3,0,0,21,12943,Certificate,Private for-profit,South East,Suburb: Large,Suburb
Kenneth Shuler School of Cosmetology and Nails-Columbia,2341100,5,,0.7172,0.5586,,99,,0.278215223,6333,52810.02,3,1,3,0,0,21,16387,Certificate,Private for-profit,South East,Suburb: Large,Suburb
Lander University,343500,5,922,0.4873,0.6739,0.619739862,2436,6131,0.688804554,15105,52256.85,1,4,1,0,0,32,13101,Graduate,Public,South East,Town: Distant,Town
Limestone College,343600,5,902,0.5308,0.7249,0.463242376,1967,5276,0.567944251,14250,53494.1,1,4,2,0,0,31,22378,Graduate,Private non-profit,South East,Town: Fringe,Town
Medical University of South Carolina,343800,5,,0.1263,0.6997,,406,10659,0.885826772,4000,58285.24,1,4,1,0,0,12,,Graduate,Public,South East,City: Midsize,City
Midlands Technical College,399300,5,,0.5068,0.3833,,9702,6102,0.639800995,5500,57934.48,2,2,1,0,0,21,5366,Associates,Public,South East,Suburb: Large,Suburb
Morris College,343900,5,,0.8936,0.9526,,940,4998,0.335766423,12250,45549.27,1,3,2,0,0,13,14818,Bachelors,Private non-profit,South East,City: Small,City
Newberry College,344000,5,958,0.4977,0.774,0.560619089,724,5337,0.717277487,15750,57421.47,1,3,2,0,0,32,20053,Bachelors,Private non-profit,South East,Town: Distant,Town
North Greenville University,344100,5,1116,0.3875,0.5117,0.57966522,1279,5704,0.75074184,10194,55701.04,1,4,2,0,0,41,22308,Graduate,Private non-profit,South East,Rural: Fringe,Rural
Orangeburg Calhoun Technical College,681500,5,,0.5562,0.2324,,1861,4949,0.516587678,5236,41806.26,2,2,1,0,0,41,7523,Associates,Public,South East,Rural: Fringe,Rural
Piedmont Technical College,399200,5,,0.6433,0.3971,,4104,5049,0.468123862,6500,46525.77,2,2,1,0,0,32,6583,Associates,Public,South East,Town: Distant,Town
Presbyterian College,344500,5,1082,0.2391,0.4747,0.623069498,1148,7637,0.945,19500,62666.83,1,4,2,0,0,32,18963,Graduate,Private non-profit,South East,Town: Distant,Town
University of South Carolina-Aiken,344900,5,976,0.4085,0.5992,0.571550619,3148,6633,0.722319859,14500,53123.12,1,4,1,0,0,21,13538,Graduate,Public,South East,Suburb: Large,Suburb
University of South Carolina-Beaufort,345000,5,927,0.4359,0.6204,0.627411168,1175,6554,0.714285714,10294.5,60345.78,1,3,1,0,0,31,14466,Bachelors,Public,South East,Town: Fringe,Town
University of South Carolina-Columbia,344800,5,1199,0.2248,0.4813,0.647389892,15266,10000,0.804035379,19250,62188.24,1,4,1,0,0,12,18555,Graduate,Public,South East,City: Midsize,City
University of South Carolina-Lancaster,344801,5,1199,0.2762,0.2699,0.647389892,837,5844,0.804035379,19250,48078.93,2,2,1,0,0,32,8145,Associates,Public,South East,Town: Distant,Town
University of South Carolina-Salkehatchie,345400,5,803,0.4898,0.4981,0.519298246,785,5281,0.407407407,6422,39553.26,2,2,1,0,0,41,13139,Associates,Public,South East,Rural: Fringe,Rural
University of South Carolina-Sumter,342600,5,925,0.3929,0.3941,0.625754527,1173,5876,PrivacySuppressed,6500,46546.46,2,2,1,0,0,13,8973,Associates,Public,South East,City: Small,City
University of South Carolina-Union,492700,5,770,0.3255,0.324,0.631097561,363,6022,0.333333333,6111,43004.06,2,2,1,0,0,32,10737,Associates,Public,South East,Town: Distant,Town
Coastal Carolina University,345100,5,1009,0.377,0.6766,0.59651055,4405,6885,0.767942584,13750,64299.08,1,4,1,0,0,13,14955,Graduate,Public,South East,City: Small,City
South Carolina State University,344600,5,760,0.7453,0.8001,0.948875256,3639,6949,0.471153846,20000,48129.81,1,4,1,0,0,32,19136,Graduate,Public,South East,Town: Distant,Town
University of South Carolina-Upstate,695100,5,950,0.4801,0.6683,0.560404339,3585,6269,0.705882353,14584,54689.19,1,4,1,0,0,22,14190,Graduate,Public,South East,Suburb: Midsize,Suburb
Sherman College of Straight Chiropractic,2063700,5,,,,,,4860,,PrivacySuppressed,53466.3,1,4,2,0,0,22,,Graduate,Private non-profit,South East,Suburb: Midsize,Suburb
Spartanburg Methodist College,344700,5,864,0.5841,0.6827,0.696272799,583,5663,0.635135135,7250,53658.08,2,2,2,0,0,22,12942,Associates,Private non-profit,South East,Suburb: Midsize,Suburb
Spartanburg Community College,399400,5,,0.5245,0.1292,,3030,5345,0.677966102,3500,51013.8,2,2,1,0,0,22,2226,Associates,Public,South East,Suburb: Midsize,Suburb
Central Carolina Technical College,399500,5,,0.6533,0.3784,,2546,5208,0.607329843,5500,45145.27,2,2,1,0,0,13,8151,Associates,Public,South East,City: Small,City
Sumter Beauty College,2567600,5,,0.8537,0,,55,,,PrivacySuppressed,45198.23,3,1,3,0,0,13,9763,Certificate,Private for-profit,South East,City: Small,City
Tri-County Technical College,492600,5,,0.3992,0.1708,,3612,4910,0.45,5500,49516.47,2,2,1,0,0,21,7790,Associates,Public,South East,Suburb: Large,Suburb
Trident Technical College,492000,5,,0.5143,0.4191,,10246,5414,0.611620795,10708.5,55538,2,2,1,0,0,13,7701,Associates,Public,South East,City: Small,City
Voorhees College,345500,5,,0.8868,0.8718,0.928930366,677,4583,0.382352941,14250,46441.97,1,3,2,0,0,41,14004,Bachelors,Private non-profit,South East,Rural: Fringe,Rural
Williamsburg Technical College,932200,5,,0.5188,0,,661,4088,,PrivacySuppressed,34230.28,2,2,1,0,0,32,8262,Associates,Public,South East,Town: Distant,Town
Winthrop University,345600,5,1044,0.4059,0.6409,0.671041838,4649,7525,0.639329806,20000,58378.35,1,4,1,0,0,13,15760,Graduate,Public,South East,City: Small,City
Wofford College,345700,5,1170,0.1888,0.4294,0.718123209,1087,8046,0.917073171,20646,61134.14,1,3,2,0,0,13,22964,Bachelors,Private non-profit,South East,City: Small,City
York Technical College,399600,5,,0.5351,0.5495,,3597,5484,0.563829787,4750,54736.17,2,2,1,0,0,13,8782,Associates,Public,South East,City: Small,City
Augustana University,345800,4,1164,0.1981,0.6224,0.650717703,1728,6606,0.932692308,24250,60196.68,1,4,2,0,0,12,19052,Graduate,Private non-profit,Plains,City: Midsize,City
Black Hills Beauty College,2137100,4,,0.4472,0.4845,,55,,0.64516129,8706,51550.26,2,1,3,0,0,13,8389,Certificate,Private for-profit,Plains,City: Small,City
Black Hills State University,345900,4,988,0.3114,0.494,0.840433213,3549,7081,0.825112108,13000,49477.45,1,4,1,0,0,32,14953,Graduate,Public,Plains,Town: Distant,Town
Dakota State University,346300,4,1047,0.2504,0.4576,0.8125,1631,7437,0.9375,12000,52093.19,1,4,1,0,0,32,14690,Graduate,Public,Plains,Town: Distant,Town
Dakota Wesleyan University,346100,4,982,0.3075,0.7122,0.74378882,676,5466,0.859296482,19800,47601.81,1,4,2,0,0,33,19203,Graduate,Private non-profit,Plains,Town: Remote,Town
Headlines Academy Inc,2297800,4,,0.437,0.4593,,51,,0.705263158,7917,50266.73,2,1,3,0,0,13,7788,Certificate,Private for-profit,Plains,City: Small,City
Lake Area Technical Institute,530900,4,,0.4045,0.7956,,571,5230,0.857379768,11000,46719.14,2,2,1,0,0,33,11934,Associates,Public,Plains,Town: Remote,Town
Avera McKennan Hospital School of Radiologic Technology,492900,4,,0,0.25,,10,,PrivacySuppressed,PrivacySuppressed,54229.63,2,1,2,0,0,12,,Certificate,Private non-profit,Plains,City: Midsize,City
Mitchell Technical Institute,828400,4,,0.343,0.5767,,905,5276,0.826196474,11000,45803.57,2,2,1,0,0,41,10661,Associates,Public,Plains,Rural: Fringe,Rural
Mount Marty College,346500,4,1030,0.2103,0.4188,0.725490196,1044,6074,0.859223301,19116,49528.49,1,4,2,0,0,33,20084,Graduate,Private non-profit,Plains,Town: Remote,Town
National American University-Rapid City,405700,4,,0.7126,0.7776,,1005,5681,0.663541667,14279.5,60277.72,1,3,3,0,0,13,17546,Bachelors,Private for-profit,Plains,City: Small,City
National American University-Sioux Falls,405707,4,,0.7429,0.8168,,261,4296,0.663541667,14279.5,60277.72,1,3,3,0,0,41,16713,Bachelors,Private for-profit,Plains,Rural: Fringe,Rural
Sioux Falls Seminary,405600,4,,,,,,4853,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4,2,0,0,12,,Graduate,Private non-profit,Plains,City: Midsize,City
Northern State University,346600,4,1024,0.2036,0.3799,0.720700152,2861,7194,0.887096774,13362,48289.97,1,4,1,0,0,33,14738,Graduate,Public,Plains,Town: Remote,Town
Oglala Lakota College,1465900,4,,0.6401,0,,1141,3763,,PrivacySuppressed,34518.51,1,4,1,0,0,43,2809,Graduate,Public,Plains,Rural: Remote,Rural
