YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
2002,basketball player,12/17/02,Athletics,Charles Barkley
2002,actor,12/18/02,Acting,Edward Norton
2002,actor,12/19/02,Acting,John Cusack
2002,actor,2012/2/2,Acting,Andy Richter
2002,editor,2012/3/2,Media,Katrina vanden Heuvel
2002,stand-up comedian,2012/4/2,Comedy,Colin Quinn
2002,actor,2012/5/2,Acting,Rob Schneider
2002,former vice president,2012/9/2,Politician,Al Gore
2002,actor,2002/11/2,Acting,Scott Bakula
2002,television personality,2002/12/2,Media,John Stossel
2002,activist,2/13/02,Advocacy,Ralph Nader
2002,actress,2/14/02,Acting,Rebecca Romijn
2002,actress,2/19/02,Acting,Jeri Ryan
2002,editor,2/20/02,Media,Bethany McLean
2002,Filmmaker,2/21/02,Media,Michael Moore
2002,Film director,2002/4/2,Media,Ron Howard
2002,commentator,2002/5/2,Media,Greta Van Susteren
2002,rapper,2002/6/2,Musician,LL Cool J
2002,singer-songwriter,2002/7/2,Musician,Barry Manilow
2002,actress,2003/11/2,Acting,Bea Arthur
2002,actor,2003/12/2,Acting,Denis Leary
2002,journalist,3/13/02,Media,Joe Klein
2002,television host,3/14/02,Media,Bill O'Reilly
2002,actor,3/18/02,Acting,Andy Richter
2002,us senator,3/19/02,Politician,John McCain
2002,actor,3/20/02,Acting,John Leguizamo
2002,actor,3/21/02,Acting,Aidan Quinn
2002,journalist,2003/4/2,Media,David Remnick
2002,Comedian,2003/5/2,Comedy,Richard Lewis
2002,actress,2003/6/2,Acting,Milla Jovovich
2002,actor,2003/7/2,Acting,Tom Arnold
2002,Journalist,2004/1/2,Media,Paula Zahn
2002,actress,2004/10/2,Acting,Patricia Arquette
2002,rock band,2004/11/2,Musician,The Goo Goo Dolls
2002,actor,4/15/02,Acting,Samuel L. Jackson
2002,editor,4/16/02,Media,Lisa Beyer
2002,Model,4/17/02,Media,Tara Reid
2002,actor,4/18/02,Acting,Richard Dreyfuss
2002,journalist,2004/2/2,Media,David Brock
2002,actor,4/22/02,Acting,Michael Clarke Duncan
2002,actor,4/23/02,Acting,Beau Bridges
2002,singer-songwriter,4/24/02,Musician,Elvis Costello
2002,journalist,4/25/02,Media,H.W. Crocker III
2002,editor,4/29/02,Media,Susan Caskie
2002,actor,2004/3/2,Acting,Jon Favreau
2002,singer-songwriter,4/30/02,Musician,Alanis Morissette
2002,actress,2004/4/2,Acting,Ashley Judd
2002,actor,2004/8/2,Acting,Tony Danza
2002,news anchor,2004/9/2,Media,Judy Woodruff
2002,Broadcaster,2005/1/2,Media,Robin Roberts
2002,Singer-songwriter,5/13/02,Musician,Moby
2002,actor,5/14/02,Acting,Liev Schreiber
2002,actor,5/15/02,Acting,Rupert Everett
2002,actress,5/16/02,Acting,Allison Janney
2002,actor,2005/2/2,Acting,Willem Dafoe
2002,,5/23/02,,Matt Walsh Goes To Hawaii
2002,actor,2005/6/2,Acting,Simon Baker
2002,Writer,2005/7/2,Media,Mark Bowden
2002,actress,2005/8/2,Acting,Diane Lane
2002,actor,2005/9/2,Acting,David Boreanaz
2002,actor,2006/11/2,Acting,Val Kilmer
2002,Former Mayor of New York City,2006/12/2,Politician,Michael Bloomberg
2002,author,6/13/02,Media,Joseph Cirincione
2002,actor,6/17/02,Acting,Freddie Prinze Jr.
2002,actor,6/18/02,Acting,Christian Slater
2002,journalist,6/19/02,Media,Cynthia McFadden
2002,stand-up comedian,6/20/02,Comedy,David Cross Bob Odenkirk
2002,actor,6/20/02,Acting,David Cross Bob Odenkirk
2002,actor,6/24/02,Acting,Colin Farrell
2002,lawyer,6/25/02,Misc,David Scheffer
2002,actor,6/26/02,Acting,Paul Sorvino
2002,soccer player,6/27/02,Athletics,Clint Mathis
2002,actor,2006/3/2,Acting,Colin Firth
2002,journalist,2006/4/2,Media,Ashleigh Banfield
2002,actor,2006/6/2,Acting,Charles Grodin
2002,rapper,2007/10/2,Musician,Busta Rhymes
2002,television Personality,2007/11/2,Media,Steve Irwin
2002,actor,7/15/02,Acting,John Ritter
2002,actress,7/16/02,Acting,Michelle Williams
2002,commentator,7/17/02,Media,Ann Coulter
2002,actress,7/18/02,Acting,Natasha Henstridge
2002,actor,7/22/02,Acting,Regis Philbin
2002,actor,7/23/02,Acting,Tim Blake Nelson
2002,actor,7/24/02,Acting,Steven Weber
2002,actor,7/25/02,Acting,Seth Green
2002,actress,7/29/02,Acting,Cynthia Nixon
2002,actor,7/30/02,Acting,Robert Wagner
2002,Comedian,7/31/02,Comedy,Martin Lawrence
2002,actor,2007/8/2,Acting,Adam Sandler
2002,journalist,2007/9/2,Media,John King
2002,actor,2008/1/2,Acting,Mike Myers
2002,actor,2008/12/2,Acting,Michael C. Hall
2002,Critic,8/13/02,Media,Scott Ritter
2002,actor,8/14/02,Acting,Kevin Nealon
2002,Journalist,8/15/02,Media,Rich Eisen
2002,actor,8/19/02,Acting,Denis Leary
2002,journalist,8/20/02,Media,Jim Lehrer
2002,actor,8/21/02,Acting,Robin Williams
2002,actor,8/22/02,Acting,Matthew Perry
2002,us senator,2008/5/2,Politician,Charles Schumer
2002,actor,2008/6/2,Acting,Antonio Banderas
2002,actor,2008/7/2,Acting,Vin Diesel
2002,actor,2008/8/2,Acting,Paul Rudd
2002,actor,2009/10/2,Acting,Zach Braff
2002,Author,2009/12/2,Media,Sarah Vowell
2002,journalist,9/16/02,Media,John Miller
2002,actor,9/17/02,Acting,Jason Lee
2002,actor,9/18/02,Acting,Damon Wayans
2002,actor,9/19/02,Acting,Djimon Hounsou
2002,actress,9/24/02,Acting,Kate Hudson
2002,white house sommunications director,9/25/02,Political Aide,George Stephanopoulos
2002,actress,9/26/02,Acting,Goldie Hawn
2002,actress,9/30/02,Acting,Bonnie Hunt
2002,actress,2009/9/2,Acting,Lorraine Bracco
2003,actress,1/13/03,Acting,Kathy Bates
2003,Filmmaker,1/14/03,Media,Michael Moore
2003,comedian,1/15/03,Comedy,Dave Chappelle
2003,former us senator,1/16/03,Politician,Joseph Lieberman
2003,television host,1/20/03,Media,Merv Griffin
2003,television producer,1/21/03,Media,Simon Cowell
2003,actor,1/22/03,Acting,John C. Reilly
2003,television host,1/23/03,Media,Jimmy Kimmel
2003,actress,1/27/03,Acting,Rosie Perez
2003,actor,1/28/03,Acting,Sam Rockwell
2003,journalist,1/29/03,Media,Jeff Greenfield
2003,actor,1/30/03,Acting,Laurence Fishburne
2003,actress,2001/7/3,Acting,Cameron Diaz
2003,actor,2001/8/3,Acting,Ray Liotta
2003,actor,2001/9/3,Acting,Philip Seymour Hoffman
2003,actress,2010/1/3,Acting,Vivica A. Fox
2003,actor,2010/2/3,Acting,Rob Lowe
2003,former national security advisio\r,10/20/03,Government,Henry Kissinger
2003,actress,10/21/03,Acting,Angelina Jolie
2003,Writer,10/22/03,Media,Walter Isaacson
2003,actor,10/23/03,Acting,Anthony Hopkins
2003,actor,10/27/03,Acting,Ted Danson
2003,Comedian,10/28/03,Comedy,Wanda Sykes
2003,Stand-up comedian,10/29/03,Comedy,Norm Macdonald
2003,Novelist,10/30/03,Media,Neal Pollack
2003,Filmmaker,2010/6/3,Media,Michael Moore
2003,actor,2010/7/3,Acting,Ronny Cox Marc Singer Robert Amstler Arianna Huffington
2003,us senator,2010/8/3,Politician,Sen. Hillary Clinton
2003,actor,2010/9/3,Acting,Tim Robbins
2003,actor,2011/10/3,Acting,Will Ferrell
2003,actor,2011/11/3,Acting,Peter Dinklage
2003,Rapper,2011/12/3,Musician,Wyclef Jean
2003,actor,11/13/03,Acting,Brendan Fraser
2003,model,11/17/03,Media,Heidi Klum
2003,writer,11/18/03,Media,Bernard Goldberg
2003,actor,11/19/03,Acting,James Spader
2003,actor,11/20/03,Acting,Billy Bob Thornton
2003,,11/24/03,,Who are the Daily Show? Special
2003,actor,2011/3/3,Acting,Kyle MacLachlan
2003,Historian,2011/4/3,Academic,Michael Beschloss
2003,stand-up comedian,2011/5/3,Comedy,Bob Newhart
2003,actor,2011/6/3,Acting,Colin Firth
2003,actor,2012/1/3,Acting,Adam Goldberg
2003,us senator,2012/10/3,Politician,Sen. Zell Miller
2003,political figure,2012/11/3,Politician,Gen. Wesley Clark
2003,actress,12/15/03,Acting,Maggie Gyllenhaal
2003,actor,12/16/03,Acting,Ben Affleck
2003,actress,12/17/03,Acting,Julia Stiles
2003,actress,12/18/03,Acting,Natalie Portman
2003,us senator,2012/2/3,Politician,Sen. Tom Daschle
2003,radio host,2012/3/3,Media,Alan Colmes
2003,radio host,2012/3/3,Media,Sean Hannity
2003,actor,2012/4/3,Acting,Alec Baldwin
2003,actress,2012/8/3,Acting,Eva Mendes
2003,actor,2012/9/3,Acting,Steve Buscemi
2003,journalist,2002/10/3,Media,Joe Klein
2003,actress,2002/11/3,Acting,Bebe Neuwirth
2003,actor,2002/12/3,Acting,Michael Clarke Duncan
2003,actor,2/13/03,Acting,Ben Affleck
2003,Journalist,2/18/03,Media,Steve Kroft
2003,actor,2/19/03,Acting,Jeff Daniels
2003,actor,2/20/03,Acting,Luke Wilson
2003,pastor,2002/3/3,Clergy,Doug Wilson
2003,actress,2002/4/3,Acting,Kate Hudson
2003,author,2002/5/3,Media,Arianna Huffington
2003,commentator,2002/6/3,Media,David Frum
2003,correspondent,2003/10/3,Media,Les Gelb
2003,stand-up comedian,2003/11/3,Comedy,Colin Quinn
2003,former majority leader,2003/12/3,Politician,Dick Gephardt
2003,actor,3/13/03,Acting,Tom Cavanagh
2003,historian,3/17/03,Academic,Eric Alterman
2003,actor,3/18/03,Acting,Jason Lee
2003,foreign policy expert,3/19/03,Academic,John Hulsman
2003,actor,3/20/03,Acting,Eddie Griffin
2003,editor,3/24/03,Media,Jim Kelly
2003,actress,3/25/03,Acting,Connie Nielsen
2003,Musician,3/26/03,Musician,Ringo Starr
2003,actress,3/27/03,Acting,Hilary Swank
2003,comedian,2003/3/3,Comedy,Eric Idle
2003,comedian,3/31/03,Comedy,Chris Rock
2003,Writer,2003/4/3,Media,Walter Isaacson
2003,actor,2003/5/3,Acting,Adrien Brody
2003,stand-up comedian,2003/6/3,Comedy,David Cross (show hosted by Stephen Colbert)
2003,writer,2004/1/3,Media,Anthony Swofford
2003,stand-up comedian,2004/10/3,Comedy,Dennis Miller
2003,actress,2004/2/3,Acting,Kelly Preston
2003,Film actor,4/21/03,Acting,Patrick Stewart
2003,Film actress,4/22/03,Acting,Rachel Weisz
2003,Comedian,4/23/03,Comedy,Richard Lewis
2003,journalist,4/24/03,Media,Fareed Zakaria
2003,neurosurgeon,4/28/03,Science,Dr Sanjay Gupta
2003,actress,4/29/03,Acting,Julia Louis-Dreyfus
2003,actor,2004/3/3,Acting,Colin Farrell
2003,actor,4/30/03,Acting,John Malkovich
2003,political psychologist,2004/7/3,Consultant,Martha Burk
2003,actress,2004/8/3,Acting,Susan Sarandon
2003,lawyer,2004/9/3,Misc,Ambassador David Scheffer
2003,actress,2005/1/3,Acting,Famke Janssen
2003,singer,2005/12/3,Musician,Randy Jackson
2003,actor,5/13/03,Acting,Joshua Jackson
2003,historian,5/14/03,Academic,Diane Ravitch
2003,Journalist,5/15/03,Media,Michael Kinsley
2003,,5/26/03,,Iraq - A Look Baq (or how we learned to stop reporting and love the war)
2003,,5/26/03,,Iraq - A Look Baq (or how we learned to stop reporting and love the war)
2003,Commentator,5/27/03,Media,William Kristol
2003,journalist,5/28/03,Media,Lisa Ling
2003,journalist,5/29/03,Media,David Halberstam
2003,commentator,2005/5/3,Media,Chris Matthews
2003,author,2005/6/3,Media,Caroline Kennedy
2003,television presenter,2005/7/3,Media,Graham Norton
2003,actor,2005/8/3,Acting,Paul Rudd
2003,Former U.S. Representative,2006/10/3,Politician,Newt Gingrich
2003,Journalist,2006/11/3,Media,Sidney Blumenthal
2003,Rapper,2006/12/3,Musician,Ludacris
2003,actor,6/16/03,Acting,Harrison Ford
2003,writer,6/17/03,Media,Lewis Lapham
2003,singer-songwriter,6/18/03,Musician,Kelly Clarkson
2003,actor,6/19/03,Acting,Ron Livingston
2003,journalist,2006/2/3,Media,Bill Hemmer
2003,stand-up comedian,2006/3/3,Comedy,Eddie Izzard
2003,Former United States Secretary of State,2006/4/3,Politician,Madeleine Albright
2003,Singer,2006/5/3,Musician,Tyrese Gibson
2003,,2006/8/3,,Looking Beyond The Show
2003,actor,2006/9/3,Acting,Guy Pearce
2003,american television personality,2007/10/3,Media,Carson Daly
2003,actress,7/14/03,Acting,Angelina Jolie
2003,former us senator,7/15/03,Politician,Gary Hart
2003,actor,7/16/03,Acting,Rowan Atkinson
2003,Comedian,7/17/03,Comedy,Martin Lawrence
2003,actress,7/21/03,Acting,Gabrielle Union
2003,actor,7/22/03,Acting,Scott Glenn
2003,author,7/23/03,Media,Dick Morris
2003,diplomat,7/24/03,Government,Joseph C. Wilson
2003,television producer,7/28/03,Media,Paul Teutul Sr. Paul Teutul Jr.
2003,designer,7/28/03,Media,Paul Teutul Sr. Paul Teutul Jr.
2003,journalist,7/29/03,Media,Brian Williams
2003,actress,7/30/03,Acting,Alyson Hannigan
2003,Broadcaster,7/31/03,Media,Soledad O'Brien
2003,Former White House Press Secretary,2007/8/3,Political Aide,Tony Snow
2003,author,2007/9/3,Media,Erica Jong
2003,actor,2008/11/3,Acting,Samuel L. Jackson
2003,actress,2008/12/3,Acting,Kim Cattrall
2003,actor,8/13/03,Acting,Paul Giamatti
2003,-,8/14/03,,"Again, A Look Back"
2003,columnist,8/18/03,Media,Jim Hightower
2003,actress,8/19/03,Acting,Cynthia Nixon
2003,Puzzle Creator,8/20/03,Media,Will Shortz
2003,former us representative,8/21/03,Politician,Dennis Kucinich
2003,actor,2008/4/3,Acting,Denis Leary
2003,musician,2008/5/3,Musician,John Popper
2003,actor,2008/6/3,Acting,Robert Duvall
2003,television actress,2008/7/3,Acting,Tracey Ullman
2003,,2009/1/3,,"I'm a Correspondent, Please Don't Fire Me!"
2003,actress,2009/10/3,Acting,Kate Beckinsale
2003,,2009/11/3,,No Guest
2003,us senator,9/15/03,Politician,Sen. John Edwards
2003,actor,9/15/03,Acting,"Cuba Gooding, Jr."
2003,Former United States Secretary of State,9/16/03,Politician,Madeleine Albright
2003,actor,9/17/03,Acting,Charlie Sheen
2003,actress,9/18/03,Acting,Christina Ricci
2003,actor,9/23/03,Acting,Michael Caine
2003,actor,9/24/03,Acting,Ben Stiller
2003,columnist,9/25/03,Media,Jonah Goldberg
2003,actor,9/29/03,Acting,Jack Black
2003,former us representative,9/30/03,Politician,Joe Scarborough
2003,united states senator,2009/9/3,Politician,Al Franken
2004,Comedian,2001/12/4,Comedy,Richard Lewis
2004,scientist,1/13/04,Science,Catherine Weitz
2004,former us senator,1/14/04,Politician,Carol Moseley-Braun
2004,vice president,1/15/04,Politician,Joe Biden
2004,actor,1/19/04,Acting,Philip Seymour Hoffman
2004,comedian,1/20/04,Comedy,Jeff Garlin
2004,us senator,1/21/04,Politician,Sen. John McCain
2004,actress,1/22/04,Acting,Erika Christensen
2004,writer,1/26/04,Media,Ken Auletta
2004,Political Scientist,1/27/04,Consultant,Richard Perle
2004,former governor of new jersey,1/28/04,Politician,Christine Todd Whitman
2004,actor,1/29/04,Acting,Kelsey Grammer
2004,Journalist,2001/6/4,Media,Tom Brokaw
2004,actor,2001/7/4,Acting,Elijah Wood
2004,actress,2001/8/4,Acting,Charlize Theron
2004,us representative,10/18/04,Politician,Ed Koch
2004,actress,10/19/04,Acting,Marisa Tomei
2004,journalist,10/20/04,Media,Fareed Zakaria
2004,actor,10/21/04,Acting,Billy Crudup
2004,Former United States Secretary of State,10/25/04,Politician,Madeleine Albright
2004,former governor of nebraska,10/26/04,Politician,Bob Kerrey
2004,civil rights activist,10/27/04,Advocacy,Jesse Jackson
2004,author,10/28/04,Media,John Zogby
2004,social activist,2010/4/4,Advocacy,Bishop Desmond Tutu
2004,actor,2010/5/4,Acting,Billy Bob Thornton
2004,journalist,2010/6/4,Media,Bob Schieffer
2004,television host,2010/7/4,Media,Bill O'Reilly
2004,television host,2011/1/4,Media,Chris Wallace
2004,Author,2011/10/4,Media,Tom Wolfe
2004,analyst,2011/11/4,Consultant,Kenneth Pollack
2004,former us senator,11/15/04,Politician,Kay Bailey Hutchison
2004,Journalist,11/16/04,Media,Tom Brokaw
2004,Historian,11/17/04,Academic,Thomas Frank
2004,actor,11/18/04,Acting,Woody Harrelson
2004,former govrnor of masssachusetts,2011/2/4,Politician,William Weld & Al Sharpton
2004,minister,2011/2/4,Clergy,William Weld & Al Sharpton
2004,actor,11/29/04,Acting,Jude Law
2004,us senator,2011/3/4,Politician,Sen. Charles Schumer
2004,journalist,11/30/04,Media,Brian Williams
2004,Commentator,2011/4/4,Media,William Kristol
2004,Businessman,2011/9/4,Business,Richard Branson
2004,author,2012/1/4,Media,Christopher Hitchens
2004,actor,12/13/04,Acting,Kevin Spacey
2004,diplomat,12/14/04,Government,Dore Gold
2004,comedian,12/15/04,Comedy,Billy Connolly
2004,journalist,12/16/04,Media,Katie Couric
2004,Author,2012/2/4,Media,Stephen King
2004,actress,2012/6/4,Acting,Isabella Rossellini
2004,Baseball player,2012/7/4,Athletics,Paul O'Neill
2004,Writer,2012/8/4,Media,Seth Mnookin
2004,actress,2012/9/4,Acting,Kate Bosworth
2004,comedian,2002/10/4,Comedy,Dave Chappelle
2004,actor,2002/11/4,Acting,Paul Rudd
2004,actress,2002/12/4,Acting,Drew Barrymore
2004,singer,2002/2/4,Musician,Randy Jackson
2004,television Personality,2/23/04,Media,Tyra Banks
2004,writer,2/24/04,Media,John Podhoretz
2004,Singer-songwriter,2/25/04,Musician,Norah Jones
2004,actor,2/26/04,Acting,Samuel L. Jackson
2004,business magnate,2002/3/4,Business,Donald Trump
2004,american politician,2002/4/4,Politician,Bob Dole
2004,Film actor,2002/5/4,Acting,Noah Wyle
2004,journalist,2002/9/4,Media,Charles Lewis
2004,television actress,2003/1/4,Acting,Edie Falco
2004,comedian,2003/10/4,Comedy,George Carlin
2004,Journalist,2003/11/4,Media,Paula Zahn
2004,us senator,3/15/04,Politician,Sen. Charles Schumer
2004,television personality,3/16/04,Media,John Stossel
2004,actor,3/17/04,Acting,Mekhi Phifer
2004,actor,3/18/04,Acting,Ethan Hawke
2004,Journalist,2003/2/4,Media,Mark Ebner
2004,Trumpeter,3/22/04,Musician,Wynton Marsalis
2004,actor,3/23/04,Acting,Tom Hanks
2004,actor,3/24/04,Acting,Jamie Foxx
2004,united states senator,3/25/04,Politician,Al Franken
2004,actress,3/29/04,Acting,Jennifer Beals
2004,former mayor of new york,2003/3/4,Politician,Rudolph Giuliani
2004,Adviser,3/30/04,Consultant,Richard A. Clarke
2004,public official,3/31/04,Government,Karen Hughes
2004,actor,2003/4/4,Acting,Willem Dafoe
2004,actor,2003/8/4,Acting,Val Kilmer
2004,political figure,2003/9/4,Politician,Ed Gillespie
2004,stunt perfomrer,2004/1/4,Acting,Johnny Knoxville
2004,Singer-songwriter,4/19/04,Musician,Melissa Etheridge
2004,actor,4/20/04,Acting,Mark Ruffalo
2004,television host,4/21/04,Media,John Gibson
2004,author,4/22/04,Media,Arianna Huffington
2004,former governor of nebraska,4/26/04,Politician,Bob Kerrey
2004,actress,4/27/04,Acting,Rebecca Romijn
2004,journalist,4/28/04,Media,Fareed Zakaria
2004,journalist,4/29/04,Media,Bob Woodward
2004,comedian,2004/5/4,Comedy,Jerry Seinfeld
2004,actor,2004/6/4,Acting,Matthew Perry and Bruce Willis
2004,actor,2004/6/4,Acting,Matthew Perry and Bruce Willis
2004,actor,2004/7/4,Acting,Tim Robbins
2004,actor,2004/8/4,Acting,Jason Bateman
2004,us senator,2005/10/4,Politician,Sen. John McCain
2004,journalist,2005/11/4,Media,Tim Russert
2004,American Political figure,2005/12/4,Politician,Ken Mehlman
2004,Commentator,5/13/04,Media,William Kristol
2004,film actress,2005/3/4,Acting,Janeane Garofalo
2004,diplomat,2005/4/4,Government,Joseph C. Wilson
2004,basketball player,2005/5/4,Athletics,Kareem Abdul-Jabbar
2004,actor,2005/6/4,Acting,Andy Richter
2004,stand-up comedian,2006/1/4,Comedy,David Cross
2004,actress,2006/10/4,Acting,Jennifer Love Hewitt
2004,actor,6/14/04,Acting,Stanley Tucci
2004,physician,6/15/04,Science,Hassan Ibrahim
2004,Former United States Secretary of Labor,6/16/04,Politician,Robert Reich
2004,television presenter,6/17/04,Media,Graham Norton
2004,journalist,2006/2/4,Media,Thomas Friedman
2004,Columnist,6/21/04,Media,Stephen F. Hayes
2004,actress,6/22/04,Acting,Ashley Judd
2004,actor,6/23/04,Acting,Kevin Kline
2004,Filmmaker,6/24/04,Media,Michael Moore
2004,Governor of Virginia,6/28/04,Politician,Terry McAuliffe
2004,author,6/29/04,Media,Edward Conlon
2004,Former Governor of New York,2006/3/4,Politician,Mario Cuomo
2004,journalist,6/30/04,Media,Calvin Trillin
2004,author,2006/7/4,Media,Donna Brazile
2004,commentator,2006/8/4,Media,David Brooks
2004,Documentary Filmmaker,2006/9/4,Media,Morgan Spurlock
2004,Journalist,2007/12/4,Media,Wolf Blitzer
2004,Journalist,7/13/04,Media,Michael Isikoff
2004,Author,7/14/04,Media,Sarah Vowell
2004,actor,7/15/04,Acting,Sacha Baron Cohen
2004,former governor of new mexico,7/27/04,Politician,Gov. Bill Richardson
2004,us senator,7/28/04,Politician,Sen. Joe Biden
2004,,7/29/04,,None
2004,,7/30/04,,None
2004,activist,2007/6/4,Advocacy,Ralph Nader (show hosted by Stephen Colbert)
2004,actor,2007/7/4,Acting,Will Ferrell
2004,actress,2007/8/4,Acting,Christina Applegate
2004,Columnist,2008/10/4,Media,Maureen Dowd
2004,actor,2008/11/4,Acting,Tom Cruise
2004,author,2008/12/4,Media,Bryan Keefer
2004,Former American senator,8/17/04,Politician,Norm Coleman
2004,actor,8/18/04,Acting,Burt Reynolds
2004,actor,8/19/04,Acting,Seth Green
2004,us representative,2008/2/4,Politician,Rep. Henry Bonilla
2004,musician,8/23/04,Musician,Robert Smith
2004,secretary of state,8/24/04,Politician,John Kerry
2004,political figure,8/25/04,Politician,Ed Gillespie
2004,Film director,2008/3/4,Media,Spike Lee
2004,0,8/30/04,,(None)
2004,Broadcaster,8/31/04,Media,Ted Koppel
2004,film actor,2008/4/4,Acting,Aaron Eckhart
2004,actress,2008/5/4,Acting,Natalie Portman
2004,us president,2008/9/4,Politician,Bill Clinton
2004,assistant to the president for communications,2009/1/4,Political Aide,Dan Bartlett
2004,actress,9/13/04,Acting,Drew Barrymore
2004,Former Assistant to the President for Communications,9/14/04,Political Aide,Pat Buchanan
2004,actor,9/15/04,Acting,Alec Baldwin
2004,actress,9/16/04,Acting,Gwyneth Paltrow
2004,us senator,2009/2/4,Politician,Sen. John McCain
2004,adviser,9/21/04,Consultant,Richard Clarke
2004,former governor of montans,9/22/04,Politician,Gov. Marc Racicot
2004,actor,9/23/04,Acting,Matthew Broderick
2004,actress,9/27/04,Acting,Rosie Perez
2004,activist,9/28/04,Advocacy,Ralph Reed
2004,Journalist,9/29/04,Media,Seymour Hersh
2004,commentator,2009/3/4,Media,Chris Matthews
2004,political figure,9/30/04,Politician,Wesley Clark
2004,former mayor of new york,9/30/04,Politician,Rudolph Giuliani
2005,lawyer,2001/10/5,Misc,John Grisham
2005,actor,2001/11/5,Acting,Samuel L. Jackson
2005,actor,2001/12/5,Acting,Dennis Quaid
2005,actress,1/13/05,Acting,Annette Bening
2005,journalist,1/17/05,Media,Brian Ross
2005,writer,1/18/05,Media,Jim Wallis
2005,Historian,1/19/05,Academic,Michael Beschloss
2005,us senator,1/20/05,Politician,Sen. Joe Lieberman
2005,Political figure,1/24/05,Politician,Richard Viguerie
2005,Journalist,1/25/05,Media,Seymour Hersh
2005,actor,1/26/05,Acting,John Leguizamo
2005,former governor of new jersey,1/27/05,Politician,Christine Todd Whitman
2005,journalist,1/31/05,Media,Fareed Zakaria
2005,actor,2001/4/5,Acting,Paul Giamatti
2005,actor,2001/5/5,Acting,Don Cheadle
2005,historian,2001/6/5,Academic,Howard Zinn
2005,singer-songwriter,10/17/05,Musician,Dolly Parton
2005,television host,10/18/05,Media,Bill O'Reilly
2005,us assistant attorney,10/19/05,Government,Louis Freeh
2005,actor,10/20/05,Acting,"Dwayne The Rock"" Johnson"""
2005,Commentator,10/24/05,Media,William Kristol
2005,united states senator,10/25/05,Politician,Al Franken
2005,biographer,10/26/05,Media,Doris Kearns Goodwin
2005,military officer,10/27/05,Military,Janis Karpinski
2005,writer,2010/3/5,Media,David Rakoff
2005,actor,10/31/05,Acting,D.L. Hughley
2005,actress,2010/4/5,Acting,Cameron Diaz
2005,us senator,2010/5/5,Politician,Sen. John Edwards
2005,actor,2010/6/5,Acting,Philip Seymour Hoffman
2005,us senator,2011/1/5,Politician,Sen. Barbara Boxer
2005,actor,2011/10/5,Acting,Chris Elliott
2005,Businesswoman,11/14/05,Business,Martha Stewart
2005,actress,11/15/05,Acting,Rosario Dawson
2005,author,11/16/05,Media,John Hodgman
2005,adviser,11/17/05,Consultant,Richard Clarke
2005,American football wide receiver,2011/2/5,Athletics,Mike Wallace
2005,actor,11/28/05,Acting,Adrien Brody
2005,Author,11/29/05,Media,Peggy Noonan
2005,lawyer,2011/3/5,Misc,Robert Ray
2005,former speaker of the the house,11/30/05,Politician,Rep. Nancy Pelosi
2005,us senator,2011/7/5,Politician,Sen. Barack Obama
2005,us senator,2011/8/5,Politician,Sen. John McCain
2005,actress,2011/9/5,Acting,Keira Knightley
2005,Rock duo,2012/1/5,Musician,The White Stripes
2005,radio personality,12/13/05,Media,Howard Stern
2005,Journalist,12/14/05,Media,Tom Brokaw
2005,actress,12/15/05,Acting,Sarah Jessica Parker
2005,former president,2012/5/5,Politician,Jimmy Carter
2005,actress,2012/6/5,Acting,Michelle Yeoh
2005,author,2012/7/5,Media,David McCullough
2005,writer,2012/8/5,Media,Ken Auletta
2005,Singer-songwriter,2002/1/5,Musician,Paula Abdul
2005,Writer,2/14/05,Media,Redmond O'Hanlon
2005,comedian,2/15/05,Comedy,Eric Idle
2005,actor,2/16/05,Acting,Alan Cumming
2005,consultant,2/17/05,Political Aide,Mark P. Mills
2005,journalist,2002/2/5,Media,Anderson Cooper
2005,Film actress,2/22/05,Acting,Rachel Weisz
2005,Journalist,2/23/05,Media,Peter Jennings
2005,actress,2/24/05,Acting,Christina Ricci
2005,former governor of nebraska,2/28/05,Politician,Ben Nelson
2005,journalist,2002/3/5,Media,Joe Klein
2005,foreign policy strategist,2003/1/5,Academic,Nancy Soderberg
2005,Economist,2003/10/5,Academic,Paul Krugman
2005,philosopher,3/14/05,Academic,Harry Frankfurt
2005,Correspondent,3/15/05,Media,Tom Fenton
2005,singer,3/16/05,Musician,Al Green
2005,television host,3/17/05,Media,Craig Ferguson
2005,actor,2003/2/5,Acting,The Rock
2005,actress,3/21/05,Acting,Sandra Bullock
2005,actress,3/22/05,Acting,Catherine Keener
2005,Singer,3/23/05,Musician,Ozzy Osbourne
2005,Music Producer,3/24/05,Musician,RZA
2005,former white house press secretary,2003/3/5,Political Aide,Ari Fleischer
2005,Film actress,2003/7/5,Acting,Melissa Boyle Mahle
2005,journalist,2003/8/5,Media,Brian Williams
2005,actor,2003/9/5,Acting,Bruce Willis
2005,columnist,2004/11/5,Media,Byron York
2005,american politician,2004/12/5,Politician,Bob Dole
2005,journalist,4/13/05,Media,John Avlon
2005,actor,4/14/05,Acting,David Duchovny
2005,Former United States Secretary of Labor,4/18/05,Politician,Robert Reich
2005,Author,4/19/05,Media,Sarah Vowell
2005,stand-up comedian,4/20/05,Comedy,Dennis Miller
2005,Professor,4/21/05,Academic,Reza Aslan
2005,attorney,4/25/05,Misc,Floyd Abrams
2005,rapper,4/26/05,Musician,Ice Cube
